Price,Open,High,Low,Close,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2022-12-01,393.38368495020256,394.5673977161483,389.51501030636837,392.0460205078125,76398200
2022-12-02,387.10918088904094,392.5080045913228,387.00333542141345,391.5937805175781,85342700
2022-12-05,388.7451892003342,389.6882828535697,383.1827516433727,384.5492858886719,77289800
2022-12-06,384.38565812195566,384.93418073616976,376.8985021196711,379.00604248046875,77972200
2022-12-07,378.149546823664,380.7479292386982,377.21605692762836,378.36126708984375,65927900
2022-12-08,380.26671499921883,382.4031247157163,378.4670782154592,381.3252868652344,60737900
2022-12-09,380.07429655718465,382.6534131944696,378.35166467807164,378.4767761230469,81447700
2022-12-12,379.275473451353,383.9333190917969,378.60183944931725,383.9333190917969,75405800
2022-12-13,394.7791267505234,395.0389532502856,384.0488238871105,386.83966064453125,123782500
2022-12-14,386.4932617739746,390.23685507259995,381.39276715436597,384.366455078125,108111300
2022-12-15,379.45834432599594,380.37259761113387,373.28964569069433,374.9641418457031,117705900
2022-12-16,372.38384349117297,373.7373278827568,368.3813946829361,370.53729248046875,119858000
2022-12-19,370.7306006961503,371.0689791158196,365.7130172695666,367.39520263671875,79878100
2022-12-20,366.6315323950158,369.53186877484075,365.2973729396968,367.89801025390625,74427200
2022-12-21,370.5179450868502,374.5397481095209,369.97655136300466,373.3989562988281,78167400
2022-12-22,370.3245416709156,373.379565675985,362.31961581085756,368.07196044921875,100120900
2022-12-23,367.03756172293055,370.33428093728185,365.47138480372934,370.18927001953125,59857300
2022-12-27,370.07323722730376,370.42126340728043,367.0375378622508,368.7294006347656,51638200
2022-12-28,368.6616903684727,370.65328153494426,363.914833150666,364.1468505859375,70911500
2022-12-29,367.0182353409745,371.5814323921783,366.4864893062941,370.70166015625,66970900
2022-12-30,367.9946461194625,369.870169590767,365.8580440218217,369.72515869140625,84022200
2023-01-03,371.6007232288444,373.59228498534856,365.2779822862928,368.1686706542969,74850700
2023-01-04,370.4502991286672,373.0606137298058,367.37594957888035,371.01104736328125,85934100
2023-01-05,369.03877846602404,369.1547871931726,366.1771216826261,366.7765197753906,76970500
2023-01-06,369.8992188363168,376.31864416642645,366.8055444092586,375.1875,104189600
2023-01-09,377.40138587341505,380.6207753767295,374.7911011584575,374.9747619628906,73978100
2023-01-10,374.3850103820558,377.6720516996393,373.43755673895447,377.6043701171875,65358100
2023-01-11,379.19959903756825,382.45763835481114,378.3778312875124,382.3802795410156,68881100
2023-01-12,383.49211635979185,385.2516311546542,379.3833069228364,383.7724609375,90157700
2023-01-13,380.54337683382676,385.841334030343,380.27268001378525,385.2612609863281,63903900
2023-01-17,385.24203723655734,386.9339001821923,383.86919832187857,384.55560302734375,62677300
2023-01-18,385.7544178597761,386.8275281643932,378.28120712545837,378.4842224121094,99632300
2023-01-19,376.42496473879623,378.0878253901528,374.3947529409015,375.7289123535156,86958900
2023-01-20,377.1404433794929,382.8831122320352,375.4775825416566,382.7284240722656,91806400
2023-01-23,383.54044837010724,389.2734390000284,382.57366966676494,387.320556640625,84178800
2023-01-24,385.62869123096067,387.82326825095475,384.42989508834205,386.90484619140625,59524900
2023-01-25,382.7960452634292,387.38824417476695,380.4854299651901,387.04986572265625,84800300
2023-01-26,389.7375036401374,391.4680457812394,386.7404837571729,391.3036804199219,72287400
2023-01-27,390.2499068874082,394.6004111857318,390.03721438600695,392.2027893066406,68346200
2023-01-30,389.41843293177686,391.6710437344802,386.9821613268885,387.2818603515625,74202000
2023-01-31,387.80398484243113,393.0245844627294,387.45592913241256,392.97625732421875,86811800
2023-02-01,391.74842013563244,399.9273898352684,388.9834469940216,397.1527099609375,101459200
2023-02-02,401.0777625537705,404.4131605811476,399.163559776095,402.9339904785156,101654500
2023-02-03,397.91642286341676,403.11769674520224,397.4330335361689,398.65118408203125,94736800
2023-02-06,396.17625487954547,397.6264229410593,394.54239650327366,396.21490478515625,60295300
2023-02-07,395.28683217754036,402.6536817068585,394.03003157419744,401.3968811035156,90990700
2023-02-08,399.40525096323563,400.7587351134148,396.3115476167617,397.00762939453125,76227500
2023-02-09,400.64280691613214,400.79749506491686,392.32850331737615,393.56597900390625,78694900
2023-02-10,392.3767750859999,394.8710805655183,391.5550368231773,394.484375,70769700
2023-02-13,395.1417881132916,399.2505975536563,394.67772371985546,399.115234375,64913500
2023-02-14,397.57803538378636,401.261459613272,394.93874859948517,398.9315490722656,88389300
2023-02-15,396.7176394328418,400.30438009443037,395.86686946913744,400.22705078125,61555700
2023-02-16,395.2094361611015,399.1925593128779,394.58103596548,394.71636962890625,76431500
2023-02-17,392.57013945359233,393.9719803089983,390.62690491007976,393.73028564453125,89257800
2023-02-21,389.6698388747305,390.7333013957311,385.5707064342329,385.83172607421875,82655900
2023-02-22,386.24741202780353,387.8039410623445,383.83046530017316,385.29998779296875,83742300
2023-02-23,388.2196126624289,388.8383651288731,383.0860206513499,387.3495178222656,96242400
2023-02-24,382.2836925894277,384.052884841915,380.56282747626454,383.2117919921875,108194400
2023-02-27,386.5857671528189,387.95860579295527,383.56942253927144,384.5168762207031,80444700
2023-02-28,384.0335407455385,386.0154254190155,382.98940315369714,383.09576416015625,96438600
2023-03-01,382.2739448547599,383.5114203314533,380.3113853994476,381.6261901855469,99706800
2023-03-02,379.6346587523475,385.4450082711098,379.2962803013244,384.59423828125,85127800
2023-03-03,386.43108905800466,391.01363995863846,385.77368665158235,390.76226806640625,90120000
2023-03-06,391.59370817710715,393.91400070480057,390.58827955243476,391.0329895019531,72795900
2023-03-07,390.9846530099192,391.2263476837906,384.4202174065238,385.0389404296875,108310600
2023-03-08,385.1550278397049,386.4311534578585,383.41480826336226,385.66741943359375,74746600
2023-03-09,386.4601228702266,388.1423379350798,377.55609896389603,378.5518798828125,111945300
2023-03-10,378.00079187237594,380.09871461859655,371.552394509817,373.0895690917969,189253000
