Date,Open,High,Low,Close,Volume
2023-11-07,408919.4338959754,409493.355908461,404399.7980476515,406336.7848397903,27050700
2023-11-08,411683.53251422866,414273.18954210076,396649.13476908207,396649.13476908207,32626900
2023-11-09,403367.46378271235,406831.0842230649,397161.8104937475,406614.6079455428,23116200
2023-11-10,401117.136800908,407559.91340716695,401044.7460525231,405822.5354459286,23638200
2023-11-13,410491.15042692015,412302.3538792097,406796.29538424924,408172.8100079894,19390400
2023-11-14,412711.6272598579,415830.53762403614,411623.63527235395,412494.02886235714,25175900
2023-11-15,414662.31421261723,417253.5038171398,411711.23716302216,411711.23716302216,29788400
2023-11-16,413708.46699723665,419132.9661274453,413419.16037695884,416456.87988987565,21411300
2023-11-17,409429.8107978088,416998.4956805147,408564.8182397852,416998.4956805147,24794700
2023-11-20,414887.30006608035,415963.06661767774,397101.29307966924,398750.8017921187,46342000
2023-11-21,395258.6090931671,396394.00186614576,386104.5048610273,388162.404262051,36142900
2023-11-22,386620.95861635177,394132.2895572119,384211.6637862645,386691.82022900134,31006900
2023-11-24,398650.1030002127,402801.217178671,397075.54244976304,401226.6566282213,29415500
2023-11-27,400625.80625722284,401055.04819249845,395188.74174373195,396333.3869044669,22122900
2023-11-28,393368.21168622584,394717.3084411064,388539.86540560063,391238.05891536176,22163500
2023-11-29,389687.6796093795,395244.5977843147,386029.9613170171,394259.82747483253,36001000
2023-11-30,395250.42271424,396657.00784845435,391944.9476488362,393070.2157562077,49146600
2023-12-01,399105.1314122063,402361.39889091527,396839.90186179994,401087.20726881176,26774000
2023-12-04,392393.620975421,392463.6412503988,384341.28935297753,387562.2220019549,30495700
2023-12-05,390387.200013922,392430.743118688,386652.44882245304,388061.7888947055,24512600
2023-12-06,390081.32418748084,398388.4160940181,388321.3470886382,398036.42067424953,27896600
2023-12-07,394232.23139773775,395921.7981037281,390853.0979857572,393457.8466574922,26610300
2023-12-08,374164.9493240796,375545.1225049135,366712.0141475763,369955.42112253606,55312000
2023-12-11,374606.3726836947,376686.74868897256,373150.1094800002,375230.48548527807,31081400
2023-12-12,381087.13191573665,382274.9722609086,374728.692420993,374728.692420993,25316700
2023-12-13,371412.9539987339,372733.2245555115,367521.6302524422,371551.92984681576,20383300
2023-12-14,355853.007165327,358311.4044514432,348546.10412048147,351209.36784710735,43459500
2023-12-15,356186.95976870024,357139.69523617474,352784.3330991482,353941.22616679594,32057100
2023-12-18,352664.42317687673,356612.41324525326,350077.8089941472,356612.41324525326,21229700
2023-12-19,357705.60635446094,362825.43850648095,353678.0050615386,360504.4479308985,24989000
2023-12-20,366962.1368858206,370540.91241433943,362557.4900814896,363933.94220784307,34125400
2023-12-21,345983.6034905594,353740.77555294696,342551.22647180385,348386.2674036883,47672400
2023-12-22,342480.94682607485,346490.148386142,339626.9389358576,341937.3262755573,38330200
2023-12-25,343817.42386776314,347630.0527264947,342387.6880457387,345451.40766436234,19273800
2023-12-26,345995.97701270937,346200.06429761666,342934.66773910105,345723.8606328331,17223900
2023-12-27,348533.97451394243,352077.232905873,347103.04324027814,352009.0933214128,26896000
2023-12-28,345597.62090008473,348032.3595209072,343433.4087926868,345732.8841567971,17822300
2023-12-29,347973.31000858266,353858.55067163607,347567.4313421652,350476.2284514904,26860500
2024-01-04,356347.87497862737,360451.6892778054,351833.67924953153,360451.6892778054,29812900
2024-01-05,366080.3174789454,375012.4833489632,366080.3174789454,374112.34260237217,30515500
2024-01-09,374592.3594779704,374730.33088109305,367348.86081403174,371694.96001239493,30486100
2024-01-10,370823.6005222016,380218.5352597238,370201.8768998656,379251.4096249789,33701200
2024-01-11,394112.45040007646,399758.56084974145,394112.45040007646,396482.4226875901,49003100
2024-01-12,399605.75469935243,400022.0106938309,391350.0108088623,393639.418778494,34169200
2024-01-15,396279.39057869744,396418.24110097456,392946.9780440483,395654.5632284507,4866000
2024-01-16,398040.34180298337,400202.0885787179,394693.1209889429,398110.0755699426,23810700
2024-01-17,405666.8034890911,411301.0646486618,400948.1097679506,402356.6750578433,42925400
2024-01-18,408069.1848405555,419971.20273173833,407077.35001629026,415366.255333364,45748100
2024-01-19,422975.2905316287,422975.2905316287,416173.6778195623,419716.18444043025,38896900
2024-01-22,420121.4117505745,423309.516898766,418917.01647236873,422530.20230698586,27665300
2024-01-23,424715.7876705585,429959.1924566148,421031.2329560325,423865.5058133602,40894100
2024-01-24,425453.77289359935,428006.495530961,418646.5125273018,419710.1469595358,28933300
2024-01-25,418476.99437093735,418476.99437093735,418476.99437093735,418476.99437093735,28781400
2024-01-26,416872.84868043615,416872.84868043615,408182.1096316745,408747.3609519191,33005600
2024-01-29,415073.6933486844,424284.95660155726,414931.9816063325,422796.9833068624,39361500
2024-01-30,416153.24498304893,420879.05301929713,413472.93594756495,417493.399500791,30914300
2024-01-31,414464.14316880517,422922.59507020935,414323.16897044843,422922.59507020935,28387200
2024-02-01,413485.4285987207,416227.46765931416,412149.5634153546,414118.206843473,29852200
